model,split,threshold,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,cost,roc_auc,pr_auc
LightGBM_Physics,test_default_0.5,0.5,0.992,0.9482758620689655,0.8088235294117647,0.873015873015873,0.9036353671903544,0.8718436651820045,1929,3,13,55,6530,0.982165692363902,0.8927744504348611
XGBoost_Physics,test_default_0.5,0.5,0.99,0.9137931034482759,0.7794117647058824,0.8412698412698413,0.8884118864937279,0.8389612760599556,1927,5,15,53,7550,0.9795548654244307,0.8811950780087398
XGBoost_AsymmetricLoss_Physics,test_default_0.5,0.5,0.9855,0.7532467532467533,0.8529411764705882,0.8,0.9215534039702837,0.7941556112922357,1913,19,10,58,5190,0.9798821702594082,0.8623136864016223
LightGBM_Weighted_Physics,test_default_0.5,0.5,0.983,0.7023809523809523,0.8676470588235294,0.7763157894736842,0.9273535501156984,0.7722144672049125,1907,25,9,59,4750,0.9759545122396784,0.8737147511423231
RandomForest_Balanced_Physics,test_default_0.5,0.5,0.983,0.7125,0.8382352941176471,0.7702702702702703,0.9131652661064427,0.7642161466894545,1909,23,11,57,5730,0.9804454390451833,0.8705380531094077
XGBoost,test_default_0.5,0.5,0.984,0.875,0.6176470588235294,0.7241379310344828,0.8072707343807088,0.727693819055339,1926,6,26,42,13060,0.9684721714772866,0.7820369223669611
LightGBM,test_default_0.5,0.5,0.983,0.84,0.6176470588235294,0.711864406779661,0.8067531360370235,0.7121553095459905,1924,8,26,42,13080,0.9688832054560955,0.7999380352693366
XGBoost_Weighted_Physics,test_default_0.5,0.5,0.9685,0.5213675213675214,0.8970588235294118,0.6594594594594595,0.9340366581415175,0.6703418493017393,1876,56,7,61,4060,0.978131469979296,0.8371740667416439
XGBoost_AsymmetricLoss,test_default_0.5,0.5,0.9625,0.47107438016528924,0.8382352941176471,0.6031746031746031,0.9025545000608939,0.612007330021225,1868,64,11,57,6140,0.9680915844598709,0.7245529166928294
RandomForest_Balanced,test_default_0.5,0.5,0.962,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8952015588844233,0.6031663634591186,1868,64,12,56,6640,0.9686396297649494,0.596446152247372
OOF_Stacking_Physics,test_default_0.5,0.5,0.9515,0.40397350993377484,0.8970588235294118,0.5570776255707762,0.9252374862988674,0.5833948971098735,1842,90,7,61,4400,0.9777965534039703,0.8960571254022748
OOF_Stacking_Physics_AnomalyFeature,test_default_0.5,0.5,0.952,0.4041095890410959,0.8676470588235294,0.5514018691588785,0.9113080014614542,0.5730913830378349,1845,87,9,59,5370,0.977035379369139,0.8834063333141526
LightGBM_Weighted,test_default_0.5,0.5,0.9505,0.3945578231292517,0.8529411764705882,0.5395348837209303,0.9034374619412983,0.5603609449802298,1843,89,10,58,5890,0.9647043600048715,0.7412058105108181
DecisionTree_Balanced,test_default_0.5,0.5,0.9455,0.37267080745341613,0.8823529411764706,0.5240174672489083,0.9150377542321276,0.5529321147701611,1831,101,8,60,5010,0.9516159724759469,0.5739242963663748
XGBoost_Weighted,test_default_0.5,0.5,0.9355,0.329608938547486,0.8676470588235294,0.4777327935222672,0.9027676287906468,0.5114004229498451,1812,120,9,59,5700,0.9680535257581293,0.7071501178281688
OOF_Stacking_AnomalyFeature,test_default_0.5,0.5,0.9265,0.3054187192118227,0.9117647058823529,0.4575645756457565,0.9193916697113628,0.5033681764583877,1791,141,6,62,4410,0.9682514310071856,0.6965445694876558
OOF_Stacking,test_default_0.5,0.5,0.9255,0.30049261083743845,0.8970588235294118,0.45018450184501846,0.9117799293630495,0.49423230625514275,1790,142,7,61,4920,0.9712580684447691,0.6749493240300738
KNN,test_default_0.5,0.5,0.9705,0.8,0.17647058823529413,0.2891566265060241,0.5874588966021191,0.3674228164386972,1929,3,56,12,28030,0.8670837900377543,0.4984681692903272
LogisticRegression_Balanced,test_default_0.5,0.5,0.831,0.14659685863874344,0.8235294117647058,0.24888888888888888,0.827396175861649,0.30188440281577084,1606,326,12,56,9260,0.9036962611131409,0.3925866116687223
LogisticRegression,test_default_0.5,0.5,0.9685,0.6923076923076923,0.1323529411764706,0.2222222222222222,0.5651412739008647,0.2938147881482448,1928,4,59,9,29540,0.9003014249177932,0.41638644097437316
LinearSVM_Balanced,test_default_0.5,0.5,0.9665,0.5333333333333333,0.11764705882352941,0.1927710843373494,0.5570119352088662,0.23951234944524297,1925,7,60,8,30070,0.9028285227134332,0.397024835496915
Dummy_All_Normal,test_default_0.5,0.5,0.966,0.0,0.0,0.0,0.5,0.0,1932,0,68,0,34000,0.5,0.034
