model,threshold,f1,mcc,recall,precision,cost
Dummy_All_Normal,0.01,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.02,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.03,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.04,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.05,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.060000000000000005,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.06999999999999999,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.08,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.09,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.09999999999999999,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.11,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.12,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.13,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.14,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.15000000000000002,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.16,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.17,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.18000000000000002,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.19,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.2,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.21000000000000002,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.22,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.23,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.24000000000000002,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.25,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.26,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.27,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.28,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.29000000000000004,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.3,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.31,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.32,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.33,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.34,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.35000000000000003,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.36000000000000004,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.37,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.38,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.39,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.4,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.41000000000000003,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.42000000000000004,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.43,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.44,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.45,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.46,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.47000000000000003,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.48000000000000004,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.49,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.5,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.51,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.52,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.53,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.54,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.55,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.56,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.5700000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.5800000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.59,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.6,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.61,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.62,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.63,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.64,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.65,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.66,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.67,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.68,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.6900000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.7000000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.7100000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.72,0.0,0.0,0.0,0.0,34000
