UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,score,pred,error_type
6498,L53677,L,300.8,309.9,1312,65.3,192,1,0,0,0,1,0,0.9987889,1,TP
4343,M19202,M,301.7,309.8,1284,68.2,111,1,0,1,1,0,0,0.99830353,1,TP
4728,M19587,M,303.4,311.8,1341,47.0,210,1,0,1,0,0,0,0.99328184,1,TP
6079,L53258,L,300.8,310.7,1339,59.1,203,1,0,0,0,1,0,0.99256027,1,TP
8583,M23442,M,297.5,308.1,1334,72.0,151,1,0,0,1,0,0,0.9902954,1,TP
6613,L53792,L,301.6,310.6,1222,70.0,62,0,0,0,0,0,0,0.9898741,1,FP
4297,L51476,L,301.8,310.2,2825,5.8,215,1,0,0,1,0,0,0.9891193,1,TP
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,0.98875284,1,TP
5707,L52886,L,302.4,311.9,1290,70.0,139,1,0,0,1,0,0,0.9879644,1,TP
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,0.986684,1,TP
9017,L56196,L,297.3,308.2,1396,52.7,212,1,0,0,0,1,0,0.9862309,1,TP
927,L48106,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0,0.9859137,1,TP
9665,L56844,L,299.1,310.2,1317,54.8,231,1,0,0,0,1,0,0.9856617,1,TP
3936,M18795,M,302.6,311.6,1227,68.2,187,1,0,0,0,1,0,0.9851459,1,TP
4662,L51841,L,303.3,311.3,1350,48.1,32,1,0,1,0,0,0,0.9847853,1,TP
9831,L57010,L,298.3,309.3,1337,56.1,206,1,0,0,0,1,0,0.9828765,1,TP
4566,H33979,H,302.7,310.8,1275,55.0,25,1,0,1,0,0,0,0.9827519,1,TP
4271,L51450,L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0,0.9826193,1,TP
328,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,0.9818409,1,TP
4131,L51310,L,301.9,310.4,1286,62.8,22,1,0,1,0,0,0,0.9818045,1,TP
